case,t_hours,T,sigma,f1
A fast ramp,176.0000,303.1500,-6.286161e+04,3.26892832
A fast ramp,178.0000,303.1500,-6.270903e+04,3.26892832
A fast ramp,180.0000,303.1500,-6.255940e+04,3.26892832
A fast ramp,182.0000,303.1500,-6.241264e+04,3.26892832
A fast ramp,184.0000,303.1500,-6.226867e+04,3.26892832
A fast ramp,186.0000,303.1500,-6.212741e+04,3.26892832
A fast ramp,188.0000,303.1500,-6.198878e+04,3.26892832
A fast ramp,190.0000,303.1500,-6.185272e+04,3.26892832
A fast ramp,192.0000,303.1500,-6.171915e+04,3.26892832
A fast ramp,194.0000,303.1500,-6.158800e+04,3.27853451
A fast ramp,196.0000,303.1500,-6.145921e+04,3.27853451
A fast ramp,198.0000,303.1500,-6.133272e+04,3.27853451
A fast ramp,200.0000,303.1500,-6.120846e+04,3.27853451
B slow ramp,2.0000,293.2500,-2.659974e+03,3.55182212
B slow ramp,4.0000,293.3500,-4.434454e+03,3.54282971
B slow ramp,6.0000,293.4500,-5.996820e+03,3.54282971
B slow ramp,8.0000,293.5500,-7.416716e+03,3.53382084
B slow ramp,10.0000,293.6500,-8.734512e+03,3.52494942
B slow ramp,12.0000,293.7500,-9.977732e+03,3.52494942
B slow ramp,14.0000,293.8500,-1.116534e+04,3.51605702
B slow ramp,16.0000,293.9500,-1.231050e+04,3.50699895
B slow ramp,18.0000,294.0500,-1.342240e+04,3.50699895
B slow ramp,20.0000,294.1500,-1.450754e+04,3.49790480
B slow ramp,22.0000,294.2500,-1.557055e+04,3.49790480
B slow ramp,24.0000,294.3500,-1.661479e+04,3.48891032
B slow ramp,26.0000,294.4500,-1.764272e+04,3.48891032
B slow ramp,28.0000,294.5500,-1.865621e+04,3.47994238
B slow ramp,30.0000,294.6500,-1.965667e+04,3.47994238
B slow ramp,32.0000,294.7500,-2.064520e+04,3.47073804
B slow ramp,34.0000,294.8500,-2.162271e+04,3.47073804
B slow ramp,36.0000,294.9500,-2.258992e+04,3.46172245
B slow ramp,38.0000,295.0500,-2.354747e+04,3.46172245
B slow ramp,40.0000,295.1500,-2.449587e+04,3.45265473
B slow ramp,42.0000,295.2500,-2.543562e+04,3.45265473
B slow ramp,44.0000,295.3500,-2.636712e+04,3.44352572
B slow ramp,46.0000,295.4500,-2.729075e+04,3.44352572
B slow ramp,48.0000,295.5500,-2.820687e+04,3.44352572
